Name	Current price	Original price	Link	Rating	Rate Count
SSD Kingston KC3000 512GB M.2 PCIe Gen4 x4 NVMe SKC3000S/512G	1.690.000 VND	1.990.000 VND	https://memoryzone.com.vn/ssd-kingston-kc3000-m-2-pcie-gen4-x4-nvme-512gb-skc3000s-512g	5	6
SSD Samsung 970 EVO Plus 500GB PCIe NVMe V-NAND M.2 2280 MZ-V7S500BW	1.750.000 VND	2.250.000 VND	https://memoryzone.com.vn/ssd-samsung-970-evo-plus-pcie-nvme-v-nand-m-2-2280-500gb-mz-v7s500bw	5	400
SSD Lexar NM790 1TB M.2 PCIe Gen4 x4 NVMe LNM790X001T-RNNNG	2.250.000 VND	2.790.000 VND	https://memoryzone.com.vn/ssd-lexar-nm790-1tb-m-2-pcie-gen4-x4-nvme-lnm790x001t-rnnng	5	26
SSD MSI SPATIUM M480 Pro 1TB M.2 2280 PCIe Gen4 x4 NVMe SPATIUM-M480P-1TB	2.350.000 VND	2.900.000 VND	https://memoryzone.com.vn/ssd-msi-spatium-m480-pro-1tb-m-2-2280-pcie-gen4-x4-nvme-spatium-m480p-1tb	0	0
SSD Lexar 1TB PLAY M.2 2230 PCIe Gen4 x4 NVMe LNMPLAY001T-RNNNG	2.450.000 VND	2.880.000 VND	https://memoryzone.com.vn/ssd-lexar-1tb-play-m-2-2230-pcie-gen4-x4-nvme-lnmplay001t-rnnng	0	0
SSD Acer Predator GM7000 1TB PCIe Gen4 x4 NVMe M.2 GM7000-1TB	2.450.000 VND	2.990.000 VND	https://memoryzone.com.vn/ssd-acer-predator-gm7000-1tb-pcie-gen4-x4-nvme-m-2-gm7000-1tb	5	15
SSD Kingston KC3000 1TB M.2 PCIe Gen4 x4 NVMe SKC3000S/1024G	2.500.000 VND	2.990.000 VND	https://memoryzone.com.vn/ssd-kingston-kc3000-m-2-pcie-gen4-x4-nvme-1tb-skc3000s-1024g	5	41
SSD Samsung 980 1TB PCIe NVMe V-NAND M.2 2280 MZ-V8V1T0BW	2.590.000 VND	3.350.000 VND	https://memoryzone.com.vn/ssd-samsung-980-pcie-nvme-v-nand-m-2-2280-1tb-mz-v8v1t0bw	5	245
SSD Samsung 870 Evo 1TB 2.5-Inch SATA III MZ-77E1T0BW	2.650.000 VND	3.350.000 VND	https://memoryzone.com.vn/ssd-samsung-870-evo-1tb-2-5-inch-sata-iii-mz-77e1t0bw	5	4
SSD Samsung 970 EVO Plus 1TB PCIe NVMe V-NAND M.2 2280 MZ-V7S1T0BW	2.650.000 VND	3.650.000 VND	https://memoryzone.com.vn/ssd-samsung-970-evo-plus-pcie-nvme-v-nand-m-2-2280-1tb-mz-v7s1t0bw	5	198
SSD HP FX900 Plus 2TB M.2 PCIe 4.0 x4 NVMe 7F618AA	2.950.000 VND	3.990.000 VND	https://memoryzone.com.vn/ssd-hp-fx900-plus-2tb-pcie-4-0-x4-nvme-fx9007f618aa	5	1
